image_filename,timestamp,numpy_array_path,annotated_image_path,clear_skin_%,dark_spots_%,puffy_eyes_%,wrinkles_%,skin_age
WIN_20250924_14_53_43_Pro.jpg,2025-10-13T23:11:30.582365,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251013_231130_WIN_20250924_14_53_43_Pro_face.npy,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251013_231130_WIN_20250924_14_53_43_Pro_annotated.png,0.0,0.0,0.0,57.722237,37.044342041015625
WIN_20250922_14_52_42_Pro.jpg,2025-10-13T23:11:35.042123,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251013_231134_WIN_20250922_14_52_42_Pro_face.npy,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251013_231134_WIN_20250922_14_52_42_Pro_annotated.png,0.0,0.0,0.0,9.115423202514648,27.92263412475586
WIN_20250926_16_00_02_Pro.jpg,2025-10-13T23:22:59.332125,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251013_232259_WIN_20250926_16_00_02_Pro_face.npy,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251013_232259_WIN_20250926_16_00_02_Pro_annotated.png,0.0,0.0,0.0,2.733713388442993,30.07970428466797
WIN_20250922_15_02_31_Pro.jpg,2025-10-14T00:20:54.684597,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_002054_WIN_20250922_15_02_31_Pro_face.npy,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_002054_WIN_20250922_15_02_31_Pro_annotated.png,0.0,0.0,0.0,70.79073786735535,29.240034103393555
WIN_20250922_15_02_31_Pro.jpg,2025-10-14T00:24:16.588326,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_002416_WIN_20250922_15_02_31_Pro_face.npy,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_002416_WIN_20250922_15_02_31_Pro_annotated.png,0.0,0.0,0.0,70.79073786735535,29.240034103393555
WIN_20250922_15_02_31_Pro.jpg,2025-10-14T00:24:20.370652,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_002420_WIN_20250922_15_02_31_Pro_face.npy,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_002420_WIN_20250922_15_02_31_Pro_annotated.png,0.0,0.0,0.0,70.79073786735535,29.240034103393555
WIN_20250922_14_52_42_Pro.jpg,2025-10-14T00:25:14.377743,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_002514_WIN_20250922_14_52_42_Pro_face.npy,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_002514_WIN_20250922_14_52_42_Pro_annotated.png,0.0,0.0,0.0,9.115423262119291,27.92263412475586
WIN_20250922_14_52_42_Pro.jpg,2025-10-14T00:25:25.938780,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_002525_WIN_20250922_14_52_42_Pro_face.npy,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_002525_WIN_20250922_14_52_42_Pro_annotated.png,0.0,0.0,0.0,9.115423262119291,27.92263412475586
WIN_20250926_16_00_02_Pro.jpg,2025-10-14T00:26:33.282346,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_002633_WIN_20250926_16_00_02_Pro_face.npy,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_002633_WIN_20250926_16_00_02_Pro_annotated.png,0.0,0.0,0.0,2.733713388442993,30.07970428466797
WIN_20250922_15_02_31_Pro.jpg,2025-10-14T00:30:02.241230,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_003002_WIN_20250922_15_02_31_Pro_face.npy,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_003002_WIN_20250922_15_02_31_Pro_annotated.png,0.0,0.0,0.0,70.79073786735535,29.240034103393555
WIN_20250922_15_02_31_Pro.jpg,2025-10-14T00:32:16.032989,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_003215_WIN_20250922_15_02_31_Pro_face.npy,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_003215_WIN_20250922_15_02_31_Pro_annotated.png,0.0,0.0,0.0,70.79073786735535,29.240034103393555
WIN_20250920_20_30_34_Pro.jpg,2025-10-14T00:46:48.336696,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_004648_WIN_20250920_20_30_34_Pro_face.npy,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_004648_WIN_20250920_20_30_34_Pro_annotated.png,0.0,0.0,0.0,3.0119726434350014,56.625587463378906
WIN_20250920_20_30_31_Pro.jpg,2025-10-14T00:46:58.018518,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_004657_WIN_20250920_20_30_31_Pro_face.npy,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_004657_WIN_20250920_20_30_31_Pro_annotated.png,0.0,0.0,0.0,1.027077715843916,40.62321472167969
WIN_20250920_20_29_09_Pro.jpg,2025-10-14T00:47:36.147583,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_004736_WIN_20250920_20_29_09_Pro_face.npy,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_004736_WIN_20250920_20_29_09_Pro_annotated.png,0.0,0.0,0.0,1.5541580505669117,20.118553161621094
WIN_20250922_14_54_11_Pro.jpg,2025-10-14T00:50:45.476778,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_005045_WIN_20250922_14_54_11_Pro_face.npy,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_005045_WIN_20250922_14_54_11_Pro_annotated.png,0.0,0.0,0.0,5.082082748413086,38.7996711730957
WIN_20250922_14_54_11_Pro.jpg,2025-10-14T00:50:59.075141,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_005059_WIN_20250922_14_54_11_Pro_face.npy,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_005059_WIN_20250922_14_54_11_Pro_annotated.png,0.0,0.0,0.0,5.082082748413086,38.7996711730957
WIN_20250922_14_54_11_Pro.jpg,2025-10-14T00:51:15.375232,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_005115_WIN_20250922_14_54_11_Pro_face.npy,D:\Projects\skin-age-detection\data\uploads\siddhesh_20251014_005115_WIN_20250922_14_54_11_Pro_annotated.png,0.0,0.0,0.0,5.082082748413086,38.7996711730957
WIN_20250922_14_54_11_Pro.jpg,2025-10-14T08:43:45.588628,D:\Projects\skin-age-detection\data\uploads\jkb_20251014_084345_face.npy,D:\Projects\skin-age-detection\data\uploads\jkb_20251014_084345_annotated.png,0.0,0.0,0.0,5.082082748413086,38.7996711730957
WIN_20250926_16_00_02_Pro.jpg,2025-10-14T08:44:01.506439,D:\Projects\skin-age-detection\data\uploads\jkb_20251014_084401_face.npy,D:\Projects\skin-age-detection\data\uploads\jkb_20251014_084401_annotated.png,0.0,0.0,0.0,2.733713388442993,30.07970428466797
